sample_id,expression,response,dose,group
S000,5.457,4.636,3.29,treated
S001,3.44,3.878,15.65,treated
S002,6.126,4.973,4.36,treated
S003,6.411,5.644,18.26,control
S004,2.073,0.019,13.3,control
S005,3.047,2.398,1.21,control
S006,5.192,3.479,0.61,control
S007,4.526,2.645,1.51,control
S008,4.975,3.277,12.32,treated
S009,3.72,2.709,16.13,treated
S010,6.319,5.788,5.15,treated
S011,6.167,3.872,17.06,control
S012,5.099,4.104,1.62,treated
S013,6.691,4.965,16.12,treated
S014,5.701,4.299,18.59,treated
S015,3.711,3.771,15.56,control
S016,5.553,4.873,14.11,control
S017,3.562,3.919,16.84,treated
S018,6.318,4.931,1.28,control
S019,4.925,3.383,4.43,control
S020,,3.599,,control
S021,3.979,3.377,10.34,treated
S022,6.834,5.608,15.03,treated
S023,4.768,2.947,12.79,control
S024,4.358,3.558,17.1,control
S025,4.472,3.76,3.53,treated
S026,5.798,6.653,14.83,treated
S027,5.548,5.94,4.26,treated
S028,5.619,3.813,5.78,control
S029,5.646,4.287,14.34,treated
S030,8.212,5.399,19.61,control
S031,4.39,3.04,12.43,treated
S032,4.232,3.638,1.56,control
S033,,3.988,12.52,control
S034,5.924,4.156,1.33,control
S035,6.693,4.831,17.74,control
S036,4.829,2.145,14.34,treated
S037,3.74,2.862,3.88,control
S038,3.763,2.161,2.29,control
S039,5.976,4.357,4.08,control
S040,6.115,4.19,19.61,treated
S041,5.815,4.576,9.44,treated
S042,4.002,1.795,15.79,treated
S043,5.348,3.105,12.91,treated
S044,5.175,5.843,11.66,treated
S045,5.328,3.232,3.33,treated
S046,6.307,4.168,18.95,control
S047,5.335,5.738,6.38,treated
S048,6.018,7.139,11.77,treated
S049,5.101,3.144,14.15,treated
S050,5.434,4.052,13.16,control
S051,5.947,5.031,18.84,treated
S052,2.814,3.634,3.39,control
S053,4.52,2.827,10.41,control
S054,4.294,3.239,8.38,treated
S055,4.042,3.855,9.75,control
S056,4.587,4.018,2.82,control
S057,7.242,5.493,3.11,treated
S058,3.701,2.854,5.92,control
S059,6.452,4.062,6.44,treated
S060,2.476,1.79,8.84,control
S061,4.498,3.385,12.41,control
S062,5.244,4.381,12.88,treated
S063,,4.259,8.53,treated
S064,6.067,5.231,8.47,control
S065,6.19,5.762,4.74,treated
S066,4.477,3.706,11.97,treated
S067,4.306,3.727,6.68,control
S068,6.287,5.072,1.2,treated
S069,4.713,3.771,8.66,control
S070,3.086,1.892,9.75,treated
S071,3.3,2.893,4.9,treated
S072,3.621,2.819,11.66,treated
S073,5.746,6.271,11.53,treated
S074,5.214,5.43,14.19,control
S075,6.036,5.137,13.13,control
S076,4.359,2.877,13.22,control
S077,5.238,3.3,6.67,treated
S078,5.938,5.704,15.85,treated
S079,4.536,3.839,11.21,control
S080,5.685,4.932,8.91,treated
S081,4.007,1.81,12.71,treated
S082,4.455,4.306,7.53,treated
S083,4.427,3.905,10.5,control
S084,3.206,1.677,14.87,treated
S085,5.73,4.207,17.78,treated
S086,4.296,3.648,18.46,control
S087,5.019,4.057,10.32,control
S088,5.721,4.343,10.65,control
S089,5.67,4.453,16.1,control
S090,5.998,4.597,6.63,treated
S091,4.852,4.004,16.83,treated
S092,4.365,4.669,10.14,treated
S093,4.88,1.851,2.76,control
S094,2.469,1.786,1.91,treated
S095,2.829,2.405,16.92,control
S096,3.016,2.65,1.58,treated
S097,3.504,2.506,5.97,control
