doi,status,title,journal,year,reason
10.3389/fgene.2021.707836,VERIFIED,Human and Machine Intelligence Together Drive Drug Repurposing in Rare Diseases,Frontiers in Genetics,2021,
10.3389/fmed.2024.1404338,VERIFIED,Artificial intelligence in drug repurposing for rare diseases: a mini-review,Frontiers in Medicine,2024,
10.1016/bs.pmbts.2024.03.030,VERIFIED,Application of artificial intelligence and machine learning in drug repurposing,Progress in Molecular Biology and Translational Science,2024,
10.1021/acs.jcim.4c01966,VERIFIED,AI-Driven Drug Discovery for Rare Diseases,Journal of Chemical Information and Modeling,2024,
10.3389/fphar.2023.1128562,VERIFIED,Enrichment analysis of phenotypic data for drug repurposing in rare diseases,Frontiers in Pharmacology,2023,
10.1101/2024.06.24.600340,VERIFIED,A machine learning and drug repurposing approach to target ferroptosis in colorectal cancer stratified by sex and KRAS,openRxiv,2024,
10.1038/s41598-020-70026-w,VERIFIED,Synergistic drug combinations and machine learning for drug repurposing in chordoma,Scientific Reports,2020,
10.1089/omi.2022.0026,VERIFIED,"A New Approach to Drug Repurposing with Two-Stage Prediction, Machine Learning, and Unsupervised Clustering of Gene Expression",OMICS: A Journal of Integrative Biology,2022,
9.9999/does.not.exist,NOT_FOUND,A Fake Hallucinated Paper That Was Never Published,,,Crossref lookup failed / DOI unregistered.
10.1111/ghost.FakeVol.001,NOT_FOUND,Absolutely Nonexistent Reference for Regression Testing,,,Crossref lookup failed / DOI unregistered.
