metric,claim,sources,verified,status,confidence,conf_score,ev_weight,max_tier,study_types,dois
CRISPR,Portable lab-in-tube RPA+CRISPR-Cas12a assay detected MTB DNA with 81% sensitivity vs culture (68% G,4,y,VERIFIED,Medium,0.6,4,9,other review,10.1016/S2666-5247(22)00087-8 10.1016/j.tube.2023.102340 10.1126/scitranslmed.adp6411 10.1128/spectrum.02652-24
result within,result within 1 h,1,y,VERIFIED,Medium,0.6,4,9,other,10.1126/scitranslmed.adp6411
children,83%/95% children,1,y,VERIFIED,Medium,0.6,4,9,other,10.1016/S2666-5247(22)00087-8
CLHIV,100% in CLHIV,1,y,VERIFIED,Medium,0.6,4,9,other,10.1016/S2666-5247(22)00087-8
seropositivity positively hazard,seropositivity positively hazard,1,y,VERIFIED,Medium,0.6,4,9,other,10.1016/S2666-5247(22)00087-8
signal cleared months,signal cleared by 6 months of treatment,1,y,VERIFIED,Medium,0.6,4,9,other,10.1016/S2666-5247(22)00087-8
WATSON,WATSON (pooled genomic tiling + CRISPR/Cas13) detects Mtb-cfDNA with higher sensitivity than singlet,1,y,VERIFIED,Medium,0.6,4,9,other,10.1038/s41467-023-37183-8
sensitivity qpcr with,sensitivity vs qPCR 94.5-91.4 with 100% specificity,1,y,VERIFIED,Medium,0.6,4,9,other,10.1128/spectrum.02652-24
MTB,Species-level MTB/MAC/MAB differentiation,1,y,VERIFIED,Medium,0.6,4,9,other,10.1016/j.aca.2026.345085
all mycobacterial positives,"all mycobacterial positives called correctly, no false positives",1,y,VERIFIED,Medium,0.6,4,9,other,10.1016/j.aca.2026.345085
hour workflow,2-hour workflow,1,y,VERIFIED,Medium,0.6,4,9,other,10.1016/j.aca.2026.345085
PPD,Conventional microscure/X-ray/PPD limitations,1,y,VERIFIED,Medium,0.6,3,9,review,10.1016/j.tube.2023.102340
